model,route,matrix_type,evaluation_training_rows,production_training_rows,fallback,max_depth,eta,min_child_weight,subsample,colsample_bytree,nrounds,eval_metric,eval_value,tuning_status,target,train_end_season,numeric_features
xgb_owner_track,overall,owner,9574,10943,FALSE,2,0.1,1,0.9,0.6,120,rmse,0.0272075873688629,solved,fastest_laps_share,2024,328
xgb_no_owner,overall,ownerless,9574,10943,FALSE,4,0.025,5,0.9,0.8,300,rmse,0.02728861975898354,solved,fastest_laps_share,2024,315
route_drafting_owner_track,drafting,owner,1326,1565,FALSE,2,0.1,1,0.9,0.8,200,rmse,0.01361189567507912,solved,fastest_laps_share,2024,328
route_drafting_no_owner,drafting,ownerless,1326,1565,FALSE,2,0.025,1,0.9,0.8,120,rmse,0.01372933522583448,solved,fastest_laps_share,2024,315
route_road_owner_track,road,owner,1225,1452,FALSE,2,0.025,10,0.75,0.8,200,rmse,0.03802815552352548,solved,fastest_laps_share,2024,328
route_road_no_owner,road,ownerless,1225,1452,FALSE,2,0.025,5,0.9,0.8,120,rmse,0.03746144121698352,solved,fastest_laps_share,2024,315
route_short_steep_owner_track,short_steep,owner,1840,2105,FALSE,3,0.025,10,0.9,0.95,120,rmse,0.02310132166859239,solved,fastest_laps_share,2024,328
route_short_steep_no_owner,short_steep,ownerless,1840,2105,FALSE,3,0.04,5,0.75,0.8,120,rmse,0.02302734375500829,solved,fastest_laps_share,2024,315
route_speedway_owner_track,speedway,owner,5071,5709,FALSE,2,0.025,10,0.75,0.6,200,rmse,0.02911976059561672,solved,fastest_laps_share,2024,328
route_speedway_no_owner,speedway,ownerless,5071,5709,FALSE,4,0.025,1,0.9,0.95,120,rmse,0.02908117031454105,solved,fastest_laps_share,2024,315
