season,round,driver_id,event_id,race_id.x,race_name,track_id,track_name,track_primary_family,track_cluster_id,driver_name,car_number,owner_id,owner_name,manufacturer_id,manufacturer,field_size,target_qualifying_position,target_qualifying_speed_deficit_pct,predicted_qualifying_position,predicted_qualifying_rank,qualifying_route,training_races,evaluated_at,target_finish_position,target_win,target_top3,predicted_finish_score,predicted_finish_position,predicted_finish_rank,finish_route,win_probability,top3_probability,win_probability_rank,top3_probability_rank,probability_route,target_points,target_stage_points,predicted_points,predicted_points_rank,actual_points_rank,points_route,scheduled_laps,laps_led_modeled_share,fastest_laps_modeled_share,race_id.y,actual_start_position,actual_finish_position,actual_laps_led,actual_fastest_laps,official_dk_points,projected_laps_led,projected_fastest_laps,projected_finish_points,projected_place_diff_prequal,projected_place_diff_postqual,projected_dk_points_prequal,projected_dk_points_postqual,actual_dk_finish_points,actual_dk_place_diff,inferred_fastest_laps,actual_dk_points_calculated,actual_dk_points,actual_dk_points_source,actual_dk_rank,projected_dk_rank_prequal,projected_dk_rank_postqual
2025,1,william_byron,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,William Byron,24,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,5,,11.18365032414486,2,drafting_superspeedway,252,2026-07-21 10:20:45,1,1,1,0.3900376184000409,9.775095366640882,1,drafting_superspeedway,0.0666164188809284,0.23669458454081188,4,1,drafting_superspeedway,41,0,29.755586017349803,1,3,drafting_superspeedway,200,0.056936857290976,0.025345231154445213,5546,5,1,10,1,,11.3873714581952,5.069046230889042,45,1,4,51.12791366844887,54.12791366844887,45,4,,51.95,51.95,nascar_components,8,2,6
2025,1,ryan_blaney,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Ryan Blaney,12,team_penske,Team Penske,ford,Ford,41,16,,13.35081367802171,7,drafting_superspeedway,252,2026-07-21 10:20:45,7,0,0,0.35883743482146524,10.984155663964955,2,drafting_superspeedway,0.07519308295015802,0.2157694331041298,3,2,drafting_superspeedway,48,0,27.975578185488722,2,1,drafting_superspeedway,200,0.04846855930424347,0.02568921129950828,5546,16,7,23,2,,9.693711860848694,5.137842259901656,42,5,14,51.73545698216792,60.73545698216792,37,9,,52.65,52.65,nascar_components,5,1,1
2025,1,joey_logano,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Joey Logano,22,team_penske,Team Penske,ford,Ford,41,10,,9.146241999725802,1,drafting_superspeedway,252,2026-07-21 10:20:45,35,0,0,0.3586330370165257,10.992550451746425,3,drafting_superspeedway,0.13067784194077317,0.19828843222282916,1,3,drafting_superspeedway,15,0,25.149429813662067,7,23,drafting_superspeedway,200,0.045948013420237986,0.014069857409634623,5546,10,35,43,5,,9.189602684047598,2.8139714819269246,41,-2,7,42.563687837879016,51.563687837879016,6,-25,,-6,-6,nascar_components,38,7,7
2025,1,chase_elliott,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Chase Elliott,9,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,17,,12.833598769320592,5,drafting_superspeedway,252,2026-07-21 10:20:45,15,0,0,0.33536562398054093,11.9913279117768,4,drafting_superspeedway,0.03502975291975312,0.1855651352681375,7,5,drafting_superspeedway,30,0,24.803933926211517,8,11,drafting_superspeedway,200,0.02916200464516035,0.02370108488514139,5546,17,15,2,2,,5.83240092903207,4.740216977028278,40,1,13,44.59119787192074,56.59119787192074,28,2,,31.4,31.4,nascar_components,16,6,3
2025,1,kyle_larson,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Kyle Larson,5,hendrick_motorsports,Hendrick Motorsports,chevrolet,Chevrolet,41,22,,12.274705321647096,4,drafting_superspeedway,252,2026-07-21 10:20:45,20,0,0,0.33303830309793986,12.096092554499291,5,drafting_superspeedway,0.07869219200588953,0.1899794225361308,2,4,drafting_superspeedway,17,0,25.599110414794836,6,20,drafting_superspeedway,200,0.03817946969567813,0.026421658544399252,5546,22,20,0,1,,7.6358939391356255,5.284331708879851,39,-1,17,42.28692275377984,60.28692275377984,23,2,,25.45,25.45,nascar_components,20,9,2
2025,1,christopher_bell,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Christopher Bell,20,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,20,,13.299940245267466,6,drafting_superspeedway,252,2026-07-21 10:20:45,31,0,0,0.3238672385552947,12.517915777619606,6,drafting_superspeedway,0.03365534121661846,0.14461320700279007,8,7,drafting_superspeedway,12,0,26.904635403376233,3,27,drafting_superspeedway,200,0.03937821173884264,0.026244910193721487,5546,20,31,0,2,,7.875642347768529,5.248982038744297,38,0,14,42.330952504377066,56.330952504377066,10,-11,,-0.09999999999999998,-0.09999999999999998,nascar_components,35,8,4
2025,1,denny_hamlin,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Denny Hamlin,11,joe_gibbs_racing,Joe Gibbs Racing,toyota,Toyota,41,8,,14.97674180108656,12,drafting_superspeedway,252,2026-07-21 10:20:45,24,0,0,0.3163778097202409,12.873280587027176,7,drafting_superspeedway,0.03609371696174204,0.11777860003609825,6,10,drafting_superspeedway,13,0,25.627050563669165,5,26,drafting_superspeedway,200,0.04083555669004971,0.024332774475706215,5546,8,24,6,1,,8.167111338009942,4.866554895141243,37,5,1,46.23172753731604,42.23172753731604,18,-16,,3.95,3.95,nascar_components,32,5,11
2025,1,bubba_wallace,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Bubba Wallace,23,23xi_racing,23XI Racing,toyota,Toyota,41,3,,16.160238149672256,15,drafting_superspeedway,252,2026-07-21 10:20:45,29,0,0,0.30188229729687366,13.589987758353727,8,drafting_superspeedway,0.02094175282641542,0.07225229380576759,17,16,drafting_superspeedway,10,0,25.664992981865144,4,29,drafting_superspeedway,200,0.04462170601647199,0.020907095791388327,5546,3,29,18,0,,8.924341203294398,4.181419158277666,36,7,-5,47.11272392204855,35.11272392204855,13,-26,,-8.5,-8.5,nascar_components,39,4,16
2025,1,chris_buescher,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Chris Buescher,17,rfk_racing,RFK Racing,ford,Ford,41,6,,18.2466384836792,19,drafting_superspeedway,252,2026-07-21 10:20:45,10,0,0,0.29421800180002666,13.984924553218493,9,drafting_superspeedway,0.03217765465709887,0.08802638133502912,11,14,drafting_superspeedway,32,0,24.349624952911636,10,8,drafting_superspeedway,200,0.03209191079108504,0.020907141621889322,5546,6,10,0,2,,6.418382158217008,4.1814283243778645,35,10,-3,48.486238285524294,35.486238285524294,34,-4,,30.9,30.9,nascar_components,17,3,14
2025,1,austin_cindric,cup_2025_r01,5546,DAYTONA 500,daytona_international_speedway,Daytona International Speedway,drafting_superspeedway,cluster_1,Austin Cindric,2,team_penske,Team Penske,ford,Ford,41,2,,12.229205773604775,3,drafting_superspeedway,252,2026-07-21 10:20:45,8,0,0,0.2919045425683476,14.106375778981802,10,drafting_superspeedway,0.03329066526438585,0.13856747265575936,10,8,drafting_superspeedway,38,0,24.49180904050762,9,4,drafting_superspeedway,200,0.09008090708979144,0.018757027374034254,5546,2,8,59,0,,18.016181417958286,3.751405474806851,34,-7,-8,33.19217781815265,32.19217781815265,36,-6,,44.75,44.75,nascar_components,10,17,17
