season,round,race_date,race_name,driver_name,driver_id,odds_american,odds_decimal,implied_probability,sportsbook,odds_as_of,source_url,market_role,safe_as_model_feature
2025,2,2025-02-23,Ambetter Health 400,Alex Bowman,alex_bowman,900,10,0.1,FanDuel,2025-02-20,https://www.actionnetwork.com/nascar/nascar-odds-picks-ambetter-health-400-atlanta-sunday-2025,verified_partial_top3_quote,TRUE
2025,12,2025-05-11,AdventHealth 400,William Byron,william_byron,235,3.35,0.29850746268656714,DraftKings,2025-05-11,https://www.actionnetwork.com/nascar/nascar-odds-predictions-expert-pick-for-kansas-on-sunday-may-11,verified_partial_top3_quote,TRUE
2025,13,2025-05-25,Coca-Cola 600,Alex Bowman,alex_bowman,600,7,0.14285714285714285,FanDuel,2025-05-25,https://www.actionnetwork.com/nascar/coca-cola-600-odds-expert-picks-best-bets-for-nascar-at-charlotte,verified_partial_top3_quote,TRUE
2025,30,2025-09-21,Mobil 1 301,William Byron,william_byron,300,4,0.25,Not identified,2025-09-18,https://www.sportsline.com/insiders/2025-mobil-1-301-odds-picks-projected-nascar-at-new-hampshire-leaderboard-predictions-by-top-model/,verified_partial_top3_quote,TRUE
2025,32,2025-10-05,Bank of America ROVAL 400,AJ Allmendinger,aj_allmendinger,500,6,0.16666666666666666,Not identified,2025-10-02,https://www.sportsline.com/insiders/2025-bank-of-america-roval-400-odds-picks-projected-nascar-at-charlotte-leaderboard-predictions-by-top-model/,verified_partial_top3_quote,TRUE
2025,33,2025-10-12,South Point 400,William Byron,william_byron,250,3.5,0.2857142857142857,Not identified,2025-10-09,https://www.sportsline.com/insiders/2025-south-point-400-odds-picks-projected-nascar-at-las-vegas-leaderboard-predictions-by-top-model/,verified_partial_top3_quote,TRUE
2026,1,2026-02-15,Daytona 500,Chase Elliott,chase_elliott,330,4.3,0.23255813953488372,Caesars,2026-02-14,https://www.cbssports.com/betting/news/how-to-bet-on-nascar-2026-daytona-500-betting-guide/,verified_partial_top3_quote,TRUE
2026,1,2026-02-15,Daytona 500,Denny Hamlin,denny_hamlin,600,7,0.14285714285714285,Caesars,2026-02-14,https://www.cbssports.com/betting/news/how-to-bet-on-nascar-2026-daytona-500-betting-guide/,verified_partial_top3_quote,TRUE
2026,1,2026-02-15,Daytona 500,Joey Logano,joey_logano,330,4.3,0.23255813953488372,Caesars,2026-02-14,https://www.cbssports.com/betting/news/how-to-bet-on-nascar-2026-daytona-500-betting-guide/,verified_partial_top3_quote,TRUE
2026,1,2026-02-15,Daytona 500,Kyle Busch,kyle_busch,500,6,0.16666666666666666,Caesars,2026-02-14,https://www.cbssports.com/betting/news/how-to-bet-on-nascar-2026-daytona-500-betting-guide/,verified_partial_top3_quote,TRUE
2026,1,2026-02-15,Daytona 500,Ryan Blaney,ryan_blaney,330,4.3,0.23255813953488372,Caesars,2026-02-14,https://www.cbssports.com/betting/news/how-to-bet-on-nascar-2026-daytona-500-betting-guide/,verified_partial_top3_quote,TRUE
2026,2,2026-02-22,Autotrader 400,Austin Cindric,austin_cindric,600,7,0.14285714285714285,theScore / bet365,2026-02-22,https://www.actionnetwork.com/nascar/nascar-odds-picks-predictions-echopark-expert-picks-autotrader-400-sun-feb-22,verified_partial_top3_quote,TRUE
2026,2,2026-02-22,Autotrader 400,Chris Buescher,chris_buescher,750,8.5,0.11764705882352941,Caesars,2026-02-22,https://www.actionnetwork.com/nascar/nascar-odds-picks-predictions-echopark-expert-picks-autotrader-400-sun-feb-22,verified_partial_top3_quote,TRUE
2026,21,2026-07-19,Window World 450,AJ Allmendinger,aj_allmendinger,5500,56,0.017857142857142856,User supplied,2026-07-17,,production_pre_race_complete_top3_board,TRUE
2026,21,2026-07-19,Window World 450,Alex Bowman,alex_bowman,2000,21,0.047619047619047616,User supplied,2026-07-17,,production_pre_race_complete_top3_board,TRUE
2026,21,2026-07-19,Window World 450,Austin Cindric,austin_cindric,1500,16,0.0625,User supplied,2026-07-17,,production_pre_race_complete_top3_board,TRUE
2026,21,2026-07-19,Window World 450,Austin Dillon,austin_dillon,2000,21,0.047619047619047616,User supplied,2026-07-17,,production_pre_race_complete_top3_board,TRUE
2026,21,2026-07-19,Window World 450,Austin Hill,austin_hill,5500,56,0.017857142857142856,User supplied,2026-07-17,,production_pre_race_complete_top3_board,TRUE
2026,21,2026-07-19,Window World 450,Brad Keselowski,brad_keselowski,1400,15,0.06666666666666667,User supplied,2026-07-17,,production_pre_race_complete_top3_board,TRUE
2026,21,2026-07-19,Window World 450,Bubba Wallace,bubba_wallace,1000,11,0.09090909090909091,User supplied,2026-07-17,,production_pre_race_complete_top3_board,TRUE
2026,21,2026-07-19,Window World 450,Carson Hocevar,carson_hocevar,600,7,0.14285714285714285,User supplied,2026-07-17,,production_pre_race_complete_top3_board,TRUE
2026,21,2026-07-19,Window World 450,Chad Finchum,chad_finchum,11000,111,0.009009009009009009,User supplied,2026-07-17,,production_pre_race_complete_top3_board,TRUE
2026,21,2026-07-19,Window World 450,Chase Briscoe,chase_briscoe,500,6,0.16666666666666666,User supplied,2026-07-17,,production_pre_race_complete_top3_board,TRUE
